WORK,GRAD,EXP,PrevWork,INCENT,Ref,products,ticket,member,earning fm,depend,Department,RC,lang,PREVIND,NOIND,Performance
1,40.811456,6,3,0,2,1,0,5,2,2,1,5,1,0,3,0
1,40.811456,2,1,5000,1,0,1200000,5,0,4,1,1,2,0,0,0
1,31.428571,2,5,15000,3,1,2000000,3,5,3,1,4,3,0,3,0
1,40.811456,2,1,5000,1,2,1000000,3,1,3,3,3,2,0,1,1
1,36.871508,3,1,5000,2,2,2000000,3,1,2,1,6,3,0,3,1
1,40.811456,7,3,15000,1,1,2000000,5,1,2,3,3,3,0,1,1
1,40.811456,4,1,15000,2,3,2000000,3,1,3,5,3,4,0,3,1
1,2,0,1,15000,1,0,1200000,3,0,0,6,2,4,0,0,0
1,40.811456,3,3,0,6,1,25000,1,5,1,1,0,3,0,3,0
1,40.811456,5,2,8000,1,2,400000,3,1,3,1,5,2,0,1,1
1,36.871508,4,2,15000,3,1,2000000,1,1,2,3,4,2,0,5,0
1,36.871508,1,1,0,1,1,1000000,3,2,3,1,2,4,0,1,1
1,2,0,1,8000,1,0,1200000,5,0,0,1,2,2,0,0,0
1,36.871508,0,3,0,1,1,0,3,1,3,3,4,2,0,0,0
1,36.871508,10,1,8000,1,2,2000000,5,1,3,3,2,1,0,1,0
1,33.333333,2,1,8000,1,2,2000000,3,1,2,1,5,2,0,1,1
1,40.811456,0,1,8000,1,0,400000,1,0,2,1,5,3,0,0,0
1,2,0,1,15000,1,0,25000,5,0,3,1,2,4,0,0,0
1,40.811456,13,4,8000,1,1,2000000,1,1,2,1,4,1,0,5,0
1,40.811456,2,2,8000,2,2,1000000,3,1,1,1,2,7,0.5,1,0
1,40.811456,3,2,5000,1,1,2000000,3,1,2,4,4,2,0,3,1
1,36.871508,0,1,5000,4,2,1000000,5,1,3,1,6,3,0,3,0
1,36.871508,8,1,15000,1,1,125000,5,0,4,4,3,2,0,1,1
1,40.811456,6,1,15000,1,0,400000,3,0,3,3,3,3,0,0,0
1,2,0,1,15000,5,0,1200000,3,0,2,4,4,2,0,0,1
1,40.811456,1,2,2000,4,2,125000,5,3,0,2,4,3,1,1,1
1,36.871508,7,2,15000,4,1,2000000,5,5,1,2,6,2,0,5,0
1,36.871508,10,4,15000,1,2,400000,5,2,3,1,3,4,0,5,0
1,40.811456,4,2,15000,1,2,2000000,5,2,1,2,0,8,1,3,0
1,2,0,1,15000,1,0,1200000,3,0,1,3,4,2,0,0,0
1,40.811456,2,2,8000,1,1,400000,1,1,2,1,5,5,1,1,1
1,40.811456,4,1,5000,1,2,125000,3,1,2,1,2,2,0,1,0
1,40.811456,14,1,5000,2,1,125000,5,0,5,1,3,4,0,3,0
1,36.871508,3,1,5000,2,2,1000000,5,4,4,2,4,7,0,3,0
1,36.871508,3,3,15000,1,1,0,3,1,1,1,6,1,0,0,0
